element	sp_num	obs_wl_air(nm)	unc_obs_wl	ritz_wl_air(nm)	unc_ritz_wl	intens	Aki(s^-1)	Acc	Ei(eV)	Ek(eV)	conf_i	term_i	J_i	conf_k	term_k	J_k	Type	tp_ref	line_ref	
Mo	5	"253.5488"	"0.0010"	"253.5482"	"0.0004"	"1300"	"2.3e+08"	C	"29.478425"	"34.366921"	"4p6.4d.5d"	"3F"	"2"	"4p6.4d.6p"	"3D*"	"1"		"T9479"	"L19131"	
P	1	"253.5603"	"0.0010"	"253.5612"	"0.0010"	"950"	"9.5e+07"	C	"2.324457"	"7.2127021"	"3s2.3p3"	"2P*"	"3/2"	"3s2.3p2.(3P).4s"	"2P"	"3/2"		"T1220"	"L5148"	
Fe	1	"253.56068"	"0.00002"	"253.560682"	"0.000009"	"4170"	"9.59e+07"	B	"0.12126572"	"5.00952178"	"3d6.4s2"	"a 5D"	"0"	"3d6.(5D).4s.4p.(1P*)"	"x 5D*"	"1"		"T5720"	"L11631"	
Mn	2	"253.5658"	"0.0006"	"253.56594"	"0.00019"	"1000"	"4.67e+07"	B+	"3.419929"	"8.3080841"	"3d5.(4G).4s"	"a 5G"	"4"	"3d5.(4P).4p"	"z 5D*"	"3"		"T7259"	"L562"	
Ti	2	"253.587016"	"0.000013"	"253.587019"	"0.000009"	"384"	"4.86e+07"	B+	"0.11257359"	"5.00032200"	"3d3"	"b 4F"	"3/2"	"3d2.(3P).4p"	"y 4D*"	"1/2"		"T7385"	"u37"	
Co	1	"253.596"	"0.010"	"253.5962"	"0.0010"	"2900"	"1.9e+08"	C	"0.174426"	"5.061998"	"3p6.3d7.4s2"	"a 4F"	"5/2"	"3p6.3d7.(4F).4s.4p.(1P*)"	"x 4D*"	"3/2"		"T4223"	"L3475"	
Mn	2	"253.5977"	"0.0006"	"253.59771"	"0.00019"	"300"	"1.34e+07"	B+	"3.420542"	"8.3080841"	"3d5.(4G).4s"	"a 5G"	"3"	"3d5.(4P).4p"	"z 5D*"	"3"		"T7259"	"L562"	
Ne	7	""	""	"253.6"	"0.4"	""	"2.33e+06"	B	"143.217"	"148.104"	"1s2.2p.3p"	"3D"	"2"	"1s2.2p.3d"	"3D*"	"3"		"T5633c91,LS"	""	
Na	9	""	""	"253.6"	"0.9"	""	"7.93e+07"	A	"170.596"	"175.484"	"1s2.3s"	"2S"	"1/2"	"1s2.3p"	"2P*"	"1/2"		"T5118c64,LS"	""	
Mn	2	"253.600"	"0.002"	"253.60305"	"0.00019"	"100"	"7.0e+05"	C	"3.420645"	"8.3080841"	"3d5.(4G).4s"	"a 5G"	"2"	"3d5.(4P).4p"	"z 5D*"	"3"		"T7259"	"L562"	
Hg	1	"253.65210"	"0.00010"	"253.65209"	"0.00005"	"900000"	"8.40e+06"	A+	"0.0000000"	"4.8864946"	"5d10.6s2"	"1S"	"0"	"5d10.6s.6p"	"3P*"	"1"		"T7227"	"L7247"	
Fe	2	"253.667231"	"0.000012"	"253.667235"	"0.000012"	"80000"	"5.7e+07"	C+	"3.24468891"	"8.1308918"	"3d6.(3H).4s"	"b 2H"	"11/2"	"3d6.(3G).4p"	"x 4G*"	"11/2"		"T6892c83"	"L18349c139"	
Fe	2	"253.680452"	"0.000012"	"253.680465"	"0.000011"	"150000"	"1.69e+08"	B+	"2.67577925"	"7.5617273"	"3d6.(3H).4s"	"a 4H"	"9/2"	"3d6.(3H).4p"	"z 4H*"	"9/2"		"T6892c83"	"L18349c139"	
Fe	2	"253.684496"	"0.000012"	"253.684491"	"0.000012"	"70000"	"6.8e+07"	C+	"2.65702556"	"7.5428961"	"3d6.(3H).4s"	"a 4H"	"11/2"	"3d6.(3H).4p"	"z 4H*"	"13/2"		"T6892c83"	"L18349c139"	
Na	7	""	""	"253.7"	"0.9"	""	"5.28e+06"	C+	"190.805?"	"195.690"	"2s.2p.(1P*).4s"	"2P*"	"3/2"	"2s.2p.(3P*).5p"	"2P"	"3/2"		"T7192c3,LS"	""	
Na	7	""	""	"253.7"	"0.9"	""	"4.22e+06"	C	"190.805?"	"195.690"	"2s.2p.(1P*).4s"	"2P*"	"1/2"	"2s.2p.(3P*).5p"	"2P"	"1/2"		"T7192c3,LS"	""	
Na	7	""	""	"253.7"	"0.9"	""	"2.11e+06"	C	"190.805?"	"195.690"	"2s.2p.(1P*).4s"	"2P*"	"3/2"	"2s.2p.(3P*).5p"	"2P"	"1/2"		"T7192c3,LS"	""	
Na	7	""	""	"253.7"	"0.9"	""	"1.06e+06"	C	"190.805?"	"195.690"	"2s.2p.(1P*).4s"	"2P*"	"1/2"	"2s.2p.(3P*).5p"	"2P"	"3/2"		"T7192c3,LS"	""	
Fe	2	"253.713775"	"0.000012"	"253.713767"	"0.000011"	"90000"	"1.44e+08"	C+	"4.76830747"	"9.6536143"	"3d6.(5D).4p"	"z 6D*"	"9/2"	"3d6.(5D).5s"	"e 6D"	"9/2"		"T7466"	"L18349c139"	
Fe	1	"253.71745"	"0.00002"	"253.717435"	"0.000015"	"2090"	"3.70e+08"	B	"2.40407444"	"7.28931061"	"3d6.4s2"	"a 3H"	"6"	"3d6.(3H).4s.4p.(1P*)"	"3I*"	"7"		"T5720"	"L11631"	
Fe	1	"253.74587"	"0.00002"	"253.745876"	"0.000009"	"240"	"3.19e+06"	C+	"1.48486439"	"6.36955305"	"3d7.(4F).4s"	"a 3F"	"4"	"3d7.(2H).4p"	"u 3G*"	"5"		"T5720"	"L11631"	
V	2	"253.76191"	"0.00020"	"253.76193"	"0.00003"	"1400"	"1.7e+07"	C	"3.1232904"	"8.0076701"	"3d3.(2D2).4s"	"b 1D"	"2"	"3d3.(2F).4p"	"x 1D*"	"2"		"T9770"	"L18516"	
Tl	1	"253.818"	"0.010"	""	""	"2r"	"1.6e+06"	C	""	""	""	""	"3/2"	""	""	"1/2"		"T4515"	"L3428"	
Fe	2	"253.820421"	"0.000012"	"253.820420"	"0.000019"	"50000bl(Fe II)*"	"1.26e+08"	B+	"4.07605998"	"8.9593142"	"3d6.(1I).4s"	"a 2I"	"13/2"	"3d6.(1G2).4p"	"x 2H*"	"11/2"		"T6892c83"	"L18349c148"	
Fe	2	"253.867869"	"0.000014"	"253.867874"	"0.000011"	"29000"	"7.4e+07"	C+	"4.81789820"	"9.7002396"	"3d6.(5D).4p"	"z 6D*"	"5/2"	"3d6.(5D).5s"	"e 6D"	"7/2"		"T7466"	"L18349c139"	
Fe	1	"253.86992"	"0.00005"	"253.869907"	"0.000009"	"145"	"2.74e+05"	C+	"0.95815732"	"5.84045966"	"3d7.(4F).4s"	"a 5F"	"3"	"3d6.(3H).4s.4p.(3P*)"	"z 3H*"	"4"		"T5720"	"L11631"	
Fe	2	"253.873759"	"0.000019"	"253.873744"	"0.000012"	"2500"	"1.08e+08"	C+	"8.7438237"	"13.6260522"	"3d6.(3G).4p"	"x 2G*"	"7/2"	"3d6.(3G).4d"	"2G"	"7/2"		"T6892c83"	"L18349c139"	
Fe	2	"253.879842"	"0.000012"	"253.879846"	"0.000011"	"140000"	"1.41e+08"	B+	"2.65702556"	"7.5391368"	"3d6.(3H).4s"	"a 4H"	"11/2"	"3d6.(3H).4p"	"z 4G*"	"9/2"		"T6892c83"	"L18349c139"	
Fe	2	"253.890920"	"0.000012"	"253.890915"	"0.000011"	"100000"	"1.28e+08"	C+	"2.67577925"	"7.5576776"	"3d6.(3H).4s"	"a 4H"	"9/2"	"3d6.(3H).4p"	"z 4G*"	"7/2"		"T6892c83"	"L18349c139"	
C	2	"253.8980"	"0.0020"	"253.8970"	"0.0010"	"38"	"8.66e+06"	B	"23.116074"	"27.99786"	"2s.2p.(3P*).3p"	"4P"	"3/2"	"2s.2p.(3P*).5s"	"4P*"	"5/2"		"T5109LS"	"L1176"	
Fe	2	"253.899324"	"0.000012"	"253.899319"	"0.000011"	"210000"	"1.93e+08"	B+	"2.63486052"	"7.5165973"	"3d6.(3H).4s"	"a 4H"	"13/2"	"3d6.(3H).4p"	"z 4G*"	"11/2"		"T6892c83"	"L18349c139"	
O	4	""	""	"253.904"	"0.010"	""	"1.77e+08"	B	"61.99147"	"66.8731"	"2s2.4p"	"2P*"	"1/2"	"2s2.5s"	"2S"	"1/2"		"T5109LS"	""	
Fe	2	"253.932760"	"0.000012"	"253.932752"	"0.000012"	"8000"	"2.59e+08"	B+	"8.7179023"	"13.5989964"	"3d6.(3G).4p"	"x 2G*"	"9/2"	"3d6.(3G).4d"	"2H"	"11/2"		"T6892c83"	"L18349c139"	
Mo	5	"253.9344"	"0.0010"	"253.9339"	"0.0005"	"2200"	"2.2e+08"	C	"29.769798"	"34.650869"	"4p6.4d.5d"	"3F"	"4"	"4p6.4d.6p"	"3D*"	"3"		"T9479"	"L19131"	
Fe	1	"253.93567"	"0.00002"	"253.935655"	"0.000009"	"209"	"2.41e+06"	C+	"0.91460217"	"5.79564049"	"3d7.(4F).4s"	"a 5F"	"4"	"3d7.(4P).4p"	"u 5D*"	"3"		"T5720"	"L11631"	
O	3	""	""	"253.9467"	"0.0010"	""	"4.01e+06"	C+	"40.571256"	"45.452081"	"2s2.2p.(2P*).3d"	"3D*"	"1"	"2s2.2p.(2P*).4p"	"3D"	"2"		"T5376LS"	""	
Fe	2	"253.98049"	"0.00002"	"253.980501"	"0.000011"	"14000"	"5.6e+06"	C+	"2.82812245"	"7.7082990"	"3d6.(3F2).4s"	"b 4F"	"7/2"	"3d5.(6S).4s.4p.(3P*)"	"y 6P*"	"7/2"		"T7503"	"L18349c139"	
Ni	14	""	""	"253.996"	"0.005"	""	"1.60e+02"	C	"5.67448"	"10.55437"	"3s2.3p3"	"2D*"	"3/2"	"3s2.3p3"	"2P*"	"1/2"	M1	"T4634"	""	
C	2	"254.0390"	"0.0020"	"254.0410"	"0.0010"	"48"	"2.01e+07"	B	"23.118841"	"27.99786"	"2s.2p.(3P*).3p"	"4P"	"5/2"	"2s.2p.(3P*).5s"	"4P*"	"5/2"		"T5109LS"	"L1176"	
Co	2	"254.06229"	"0.00003"	"254.062287"	"0.000014"	"64000"	"1.5e+08"	C+	"3.00877191"	"7.88737753"	"3d7.(4P).4s"	"b 3P"	"1"	"3d7.(4P).4p"	"y 3D*"	"2"		"T6999"	"L9429c118"	
Fe	2	"254.066102"	"0.000013"	"254.066413"	"0.000020"	"100000"	"1.70e+08"	B+	"4.49479059"	"9.3733170"	"3d6.(3D).4s"	"b 2D"	"5/2"	"3d6.(3D).4p"	"w 2F*"	"7/2"		"T6892c83"	"L18349c145"	
Fe	1	"254.06633"	"0.00002"	"254.066032"	"0.000009"	"2630"	"1.41e+06"	B+	"0.08728574"	"4.96581946"	"3d6.4s2"	"a 5D"	"2"	"3d5.(6S).4s2.4p"	"y 7P*"	"2"		"T5720"	"L11631"	
Cd	2	""	""	"254.081+"	"0.006"	""	"3.2e+06"	C	"11.139209"	"16.01746"	"4d10.5d"	"2D"	"5/2"	"4d9.5s.(1D).5p"	"2F*"	"7/2"		"T3096"	""	
Sc	2	"254.0824"	"0.0010"	"254.0822"	"0.0010"	"3g"	"2.6e+06"	B'	"0.000000"	"4.878223"	"3p6.3d.4s"	"3D"	"1"	"3p6.4s.4p"	"3P*"	"2"		"T5448"	"L5141"	
C	2	"254.0880"	"0.0020"	"254.0895"	"0.0012"	"29"	"1.20e+07"	B	"23.114048"	"27.99213"	"2s.2p.(3P*).3p"	"4P"	"1/2"	"2s.2p.(3P*).5s"	"4P*"	"3/2"		"T5109LS"	"L1176"	
Fe	1	"254.09720"	"0.00002"	"254.097186"	"0.000009"	"4680"	"9.59e+07"	C+	"0.11011433"	"4.98804995"	"3d6.4s2"	"a 5D"	"1"	"3d6.(5D).4s.4p.(1P*)"	"x 5D*"	"2"		"T5720"	"L11631"	
Na	7	""	""	"254.1"	"0.9"	""	"1.73e+07"	B	"172.685"	"177.563"	"2p2.(1D).3p"	"2D*"	"3/2"	"2p2.(1D).3d"	"2P"	"1/2"		"T7192c3,LS"	""	
Fe	2	"254.110071"	"0.000012"	"254.110078"	"0.000012"	"80000"	"9.6e+07"	C+	"2.82812245"	"7.7058106"	"3d6.(3F2).4s"	"b 4F"	"7/2"	"3d6.(3F2).4p"	"y 4F*"	"5/2"		"T6892c83"	"L18349c139"	
Ca	3	"254.1498"	"0.0005"	"254.1499"	"0.0003"	"3200"	"7.4e+07"	B	"30.072019"	"34.948944"	"3s2.3p5.4s"	"3P*"	"2"	"3s2.3p5.4p"	"3P"	"2"		"T7942"	"L1405"	
W	1	"254.1696"	"0.0010"	"254.1696"	"0.0006"	"20"	"4.8e+06"	B	"0.771099"	"5.647644"	"5d4.6s2"	"5D"	"4"	""	"*"	"3"		"T6977"	"L153"	
O	4	""	""	"254.181"	"0.010"	""	"3.53e+08"	B	"61.99679"	"66.8731"	"2s2.4p"	"2P*"	"3/2"	"2s2.5s"	"2S"	"1/2"		"T5109LS"	""	
Si	3	"254.182"	"0.010"	"254.1818"	"0.0010"	"25"	"3.22e+07"	B	"10.276357"	"15.152669"	"3s.3p"	"1P*"	"1"	"3p2"	"1D"	"2"		"c44,T5038,T1860"	"L4833"	
Fe	2	"254.183549"	"0.000012"	"254.183547"	"0.000011"	"60000"	"8.2e+07"	C+	"2.69193206"	"7.5682105"	"3d6.(3H).4s"	"a 4H"	"7/2"	"3d6.(3H).4p"	"z 4G*"	"5/2"		"T6892c83"	"L18349c139"	
Ti	1	"254.1908"	"0.0003"	"254.19177"	"0.00003"	"15+"	"4.3e+07"	C	"0.04796626"	"4.9240869"	"3d2.4s2"	"a 3F"	"4"	"3d3.(2D2).4p"	"s 3D*"	"3"		"T3499n"	"L10989"	
C	2	""	""	"254.1951"	"0.0012"	""	"3.82e+06"	B	"23.116074"	"27.99213"	"2s.2p.(3P*).3p"	"4P"	"3/2"	"2s.2p.(3P*).5s"	"4P*"	"3/2"		"T5109LS"	""	
Co	2	"254.19531"	"0.00003"	"254.195316"	"0.000014"	"52000"	"7.0e+07"	C+	"1.32766384"	"6.20371650"	"3d7.(4F).4s"	"b 3F"	"3"	"3d7.(4F).4p"	"z 3G*"	"3"		"T6135"	"L9429c118"	
Fe	1	"254.21011"	"0.00002"	"254.210125"	"0.000021"	"1820"	"4.47e+08"	C+	"2.43269470"	"7.3084633"	"3d6.4s2"	"a 3H"	"5"	"3d6.(3H).4s.4p.(1P*)"	"3I*"	"6"		"T5720"	"L11631"	
C	2	""	""	"254.2411"	"0.0026"	""	"4.78e+06"	B	"23.114048"	"27.98922"	"2s.2p.(3P*).3p"	"4P"	"1/2"	"2s.2p.(3P*).5s"	"4P*"	"1/2"		"T5109LS"	""	
O	3	""	""	"254.2636"	"0.0010"	""	"1.85e+07"	C+	"40.577338"	"45.452081"	"2s2.2p.(2P*).3d"	"3D*"	"2"	"2s2.2p.(2P*).4p"	"3D"	"2"		"T5376LS"	""	
Na	3	"254.2791"	"0.0005"	"254.2799"	"0.0018"	"14"	"3.39e+07"	B+	"45.570413"	"50.444845"	"2s2.2p4.(3P).3s"	"4P"	"1/2"	"2s2.2p4.(3P).3p"	"4P*"	"1/2"		"c51,T7317"	"L1882"	
Mn	2	"254.2923"	"0.0006"	"254.29265"	"0.00013"	"800"	"8.5e+07"	B+	"3.420542"	"8.2947281"	"3d5.(4G).4s"	"a 5G"	"3"	"3d5.(4G).4p"	"z 5F*"	"2"		"T7259"	"L562"	
Fe	2	"254.308010"	"0.000015"	"254.307999"	"0.000012"	"4000"	"1.58e+08"	B+	"8.7179023"	"13.5917945"	"3d6.(3G).4p"	"x 2G*"	"9/2"	"3d6.(3G).4d"	"2G"	"9/2"		"T6892c83"	"L18349c139"	
Fe	2	"254.337788"	"0.000012"	"254.337770"	"0.000012"	"60000bl(Fe I)"	"6.7e+07"	C+	"2.67577925"	"7.5491010"	"3d6.(3H).4s"	"a 4H"	"9/2"	"3d6.(3H).4p"	"z 4H*"	"11/2"		"T6892c83"	"L18349c148"	
C	2	"254.345"	"0.006"	"254.3395"	"0.0012"	"53*"	"1.29e+07"	B	"23.118841"	"27.99213"	"2s.2p.(3P*).3p"	"4P"	"5/2"	"2s.2p.(3P*).5s"	"4P*"	"3/2"		"T5109LS"	"L1176"	
C	2	"254.345"	"0.006"	"254.3468"	"0.0026"	"53*"	"2.39e+07"	B	"23.116074"	"27.98922"	"2s.2p.(3P*).3p"	"4P"	"3/2"	"2s.2p.(3P*).5s"	"4P*"	"1/2"		"T5109LS"	"L1176"	
Mn	2	"254.3454"	"0.0006"	"254.34567"	"0.00019"	"1000"	"2.50e+08"	B	"3.420645"	"8.2938151"	"3d5.(4G).4s"	"a 5G"	"2"	"3d5.(4G).4p"	"z 5F*"	"1"		"T7259"	"L562"	
C	2	""	""	"254.372"	"0.004"	""	"2.9e+04"	C	"24.271876"	"29.14454"	"2s.2p.(3P*).3d"	"4F*"	"5/2"	"2s.2p.(3P*).6p"	"4D"	"7/2"		"T5109LS"	""	
Na	1	"254.3820"	"0.0004"	"254.38405"	"0.00013"	""	"4.46e+04"	C+	"0.000000000"	"4.8724352"	"2p6.3s"	"2S"	"1/2"	"2p6.8p"	"2P*"	"3/2"		"c30,T76n"	"L15055,L6096"	
Na	1	"254.3880"	"0.0004"	"254.38722"	"0.00013"	""	"4.35e+04"	C+	"0.000000000"	"4.8723744"	"2p6.3s"	"2S"	"1/2"	"2p6.8p"	"2P*"	"1/2"		"c30,T76n"	"L15055,L6096"	
Fe	1	"254.39224"	"0.00005"	"254.392235"	"0.000021"	"1480"	"4.70e+08"	B	"2.45343044"	"7.3257089"	"3d6.4s2"	"a 3H"	"4"	"3d6.(3H).4s.4p.(1P*)"	"3I*"	"5"		"T5720"	"L11631"	
Fe	1	"254.46565"	"0.00002"	"254.465632"	"0.000009"	"186"	"2.86e+06"	C+	"0.99011115"	"5.86098438"	"3d7.(4F).4s"	"a 5F"	"2"	"3d7.(4P).4p"	"w 3D*"	"1"		"T5720"	"L11631"	
Cu	16	"254.47"	"0.10"	"254.5+"	"0.7"	""	"3.28e+02"	C	"4.058"	"8.9288"	"3s2.3p2"	"3P"	"2"	"3s2.3p2"	"1D"	"2"	M1	"T4931"	"L10791"	
Cu	2	"254.480509"	"0.000020"	"254.480482"	"0.000011"	"1200000"	"1.94e+08"	B	"8.52154401"	"13.39213301"	"3d9.4p"	"3F*"	"4"	"3d9.(2D<5/2>).5s"	"2[5/2]"	"3"		"T7181"	"L19804c167"	
C	2	""	""	"254.501"	"0.004"	""	"5.62e+05"	B	"24.274339"	"29.14454"	"2s.2p.(3P*).3d"	"4F*"	"7/2"	"2s.2p.(3P*).6p"	"4D"	"7/2"		"T5109LS"	""	
Ti	15	"254.508"	"0.008"	"254.454"	"0.010"	"*"	"1.29e+03"	C+	"0.0000"	"4.8711"	"2s2.2p4"	"3P"	"2"	"2s2.2p4"	"3P"	"1"	M1	"T3941"	"L5317"	
Sc	2	"254.5196"	"0.0010"	"254.5203"	"0.0010"	"8g"	"4.0e+07"	A'	"0.008396"	"4.878223"	"3p6.3d.4s"	"3D"	"2"	"3p6.4s.4p"	"3P*"	"2"		"T5448"	"L5141"	
C	2	""	""	"254.520"	"0.008"	""	"5.3e+04"	C	"24.270232"	"29.14006"	"2s.2p.(3P*).3d"	"4F*"	"3/2"	"2s.2p.(3P*).6p"	"4D"	"5/2"		"T5109LS"	""	
Fe	2	"254.521954"	"0.000012"	"254.521963"	"0.000011"	"40000"	"5.3e+07"	C+	"2.69193206"	"7.5617273"	"3d6.(3H).4s"	"a 4H"	"7/2"	"3d6.(3H).4p"	"z 4H*"	"9/2"		"T6892c83"	"L18349c139"	
W	1	"254.5340"	"0.0010"	"254.5342"	"0.0006"	"50r"	"2.41e+07"	B	"0.412313"	"5.281874"	"5d4.6s2"	"5D"	"2"	""	"*"	"3"		"T6977"	"L153"	
Ni	2	""	""	"254.5899"	"0.0010"	""	"1.56e+07"	B	"1.859214"	"6.727709"	"3p6.3d8.(3F).4s"	"2F"	"5/2"	"3p6.3d8.(3F).4p"	"4G*"	"7/2"		"T1024n"	""	
V	1	"254.59241"	"0.00009"	"254.592411"	"0.000020"	"240000"	"1.8e+07"	C+	"0.00000000"	"4.8684478"	"3d3.4s2"	"a 4F"	"3/2"	"3d4.(3F2).4p"	"u 4F*"	"3/2"		"T9399"	"L15916"	
Fe	1	"254.59783"	"0.00002"	"254.597818"	"0.000009"	"5600"	"7.16e+07"	C+	"0.08728574"	"4.95563019"	"3d6.4s2"	"a 5D"	"2"	"3d6.(5D).4s.4p.(1P*)"	"x 5D*"	"3"		"T5720"	"L11631"	
C	2	""	""	"254.606"	"0.008"	""	"9.59e+05"	B	"24.271876"	"29.14006"	"2s.2p.(3P*).3d"	"4F*"	"5/2"	"2s.2p.(3P*).6p"	"4D"	"5/2"		"T5109LS"	""	
F	5	""	""	"254.610"	"0.010"	""	"3.2e+07"	B	"81.64942"	"86.51754"	"2s.2p.(3P*).3p"	"4D"	"7/2"	"2s.2p.(3P*).3d"	"4D*"	"7/2"		"T7192c91,LS"	""	
Co	2	"254.61598"	"0.00004"	"254.61596"	"0.00003"	"2100"	"5.0e+06"	B	"1.44457424"	"6.31257177"	"3d8"	"a 1D"	"2"	"3d7.(4F).4p"	"z 3F*"	"2"		"T6854"	"L9429c118"	
O	3	""	""	"254.6409"	"0.0010"	""	"1.99e+07"	C+	"40.571256"	"45.438777"	"2s2.2p.(2P*).3d"	"3D*"	"1"	"2s2.2p.(2P*).4p"	"3D"	"1"		"T5376LS"	""	
Fe	2	"254.644169"	"0.000015"	"254.644158"	"0.000013"	"7000"	"1.97e+08"	B+	"8.1040544"	"12.9715130"	"3d6.(3H).4p"	"z 2H*"	"11/2"	"3d6.(3H).4d"	"2I"	"13/2"		"T6892c83"	"L18349c139"	
C	2	""	""	"254.649"	"0.010"	""	"1.10e+06"	B	"24.270232"	"29.13760"	"2s.2p.(3P*).3d"	"4F*"	"3/2"	"2s.2p.(3P*).6p"	"4D"	"3/2"		"T5109LS"	""	
Fe	2	"254.666984"	"0.000013"	"254.666986"	"0.000011"	"90000"	"8.0e+07"	B	"2.82812245"	"7.6951447"	"3d6.(3F2).4s"	"b 4F"	"7/2"	"3d6.(3F2).4p"	"y 4F*"	"7/2"		"T7461"	"L18349c139"	
Co	2	"254.67383"	"0.00003"	"254.673838"	"0.000020"	"160000*"	"1.22e+08"	C+	"3.11785953"	"7.98475087"	"3d7.(2G).4s"	"b 1G"	"4"	"3d7.(2G).4p"	"z 1G*"	"4"		"T6999"	"L9429c118"	
C	2	"254.681"	"0.004"	"254.681"	"0.004"	"37h"	"4.92e+06"	B	"24.277795"	"29.14454"	"2s.2p.(3P*).3d"	"4F*"	"9/2"	"2s.2p.(3P*).6p"	"4D"	"7/2"		"T5109LS"	"L1176"	
W	1	"254.7136"	"0.0010"	"254.7139"	"0.0006"	"100r"	"1.75e+08"	B	"0.412313"	"5.278440"	"5d4.6s2"	"5D"	"2"	""	"*"	"1"		"T6977"	"L153"	
C	2	"254.735"	"0.006"	"254.735"	"0.014"	"29h*"	"5.50e+06"	B	"24.270232"	"29.1360"	"2s.2p.(3P*).3d"	"4F*"	"3/2"	"2s.2p.(3P*).6p"	"4D"	"1/2"		"T5109LS"	"L1176"	
C	2	"254.735"	"0.006"	"254.735"	"0.008"	"29h*"	"4.49e+06"	B	"24.274339"	"29.14006"	"2s.2p.(3P*).3d"	"4F*"	"7/2"	"2s.2p.(3P*).6p"	"4D"	"5/2"		"T5109LS"	"L1176"	
C	2	"254.735"	"0.006"	"254.735"	"0.010"	"29h*"	"4.41e+06"	B	"24.271876"	"29.13760"	"2s.2p.(3P*).3d"	"4F*"	"5/2"	"2s.2p.(3P*).6p"	"4D"	"3/2"		"T5109LS"	"L1176"	
O	3	""	""	"254.7422"	"0.0010"	""	"4.13e+06"	C+	"40.586496"	"45.452081"	"2s2.2p.(2P*).3d"	"3D*"	"3"	"2s2.2p.(2P*).4p"	"3D"	"2"		"T5376LS"	""	
Mo	1	"254.8224"	"0.0010"	"254.82240+"	"0.00009"	"330"	"1.60e+07"	B	"1.3351030"	"6.1991572"	"4d5.(6S).5s"	"a 5S"	"2"	"4d4.5s.(4D).5p"	"v 5P*"	"3"		"T5293"	"L10250,L3475"	
Fe	2	"254.874389"	"0.000012"	"254.874394"	"0.000013"	"90000"	"2.4e+08"	C+	"2.70434897"	"7.5674109"	"3d6.(3P2).4s"	"b 4P"	"3/2"	"3d6.(3P2).4p"	"y 4P*"	"1/2"		"T6892c83"	"L18349c139"	
Mn	2	"254.8750"	"0.0006"	"254.87498"	"0.00020"	"1000"	"1.9e+08"	C	"4.0651815"	"8.928232"	"3d5.(4D).4s"	"b 5D"	"4"	"3d5.(4D).4p"	"y 5D*"	"4"		"c88"	"L562"	
Fe	2	"254.892229"	"0.000016"	"254.892251"	"0.000020"	"21000bl(Fe II)*"	"6.0e+07"	C+	"4.0803055"	"8.9430267"	"3d6.(1I).4s"	"a 2I"	"11/2"	"3d6.(1G2).4p"	"x 2H*"	"9/2"		"T6892c83"	"L18349c148"	
Fe	2	"254.908301"	"0.000012"	"254.908306"	"0.000011"	"70000"	"1.89e+08"	B+	"3.76769941"	"8.6301144"	"3d6.(3G).4s"	"b 2G"	"9/2"	"3d6.(3G).4p"	"y 2F*"	"7/2"		"T6892c83"	"L18349c139"	
W	2	"254.909651"	"0.000010"	"254.909657"	"0.000013"	"57"	"1.36e+06"	B	"0.39333652"	"5.25572576"	"5d4.(5D).6s"	"6D"	"5/2"	"5d3.(4F).6s.(5F).6p"	"6G*"	"7/2"		"T7162"	"L11762"	
Ne	8	"254.92"	"0.15"	"254.90"	"0.15"	"130i*"	"2.17e+07"	A	"[225.4839]"	"[230.346]"	"1s2.8d"	"2D"	"3/2"	"1s2.10p"	"2P*"	""		"T7495LS"	"L9090"	
Ne	8	"254.92"	"0.15"	"254.95"	"0.15"	"130i*"	"4.89e+07"	A	"[225.4849]"	"[230.346]"	"1s2.8d"	"2D"	"5/2"	"1s2.10p"	"2P*"	""		"T7495LS"	"L9090"	
V	2	"254.927671"	"0.000020"	"254.927692"	"0.000020"	"32000"	"1.01e+08"	B	"1.47643598"	"6.3384812"	"3d4"	"a 3P2"	"2"	"3d3.(2P).4p"	"y 3P*"	"2"		"T9770"	"L18516"	
Fe	2	"254.939440"	"0.000013"	"254.939444"	"0.000011"	"90000"	"1.65e+08"	C+	"2.85551515"	"7.7173363"	"3d6.(3F2).4s"	"b 4F"	"3/2"	"3d6.(3F2).4p"	"y 4F*"	"3/2"		"T6892c83"	"L18349c139"	
Fe	2	"254.946132"	"0.000013"	"254.946137"	"0.000011"	"90000"	"1.12e+08"	C+	"2.84411707"	"7.7058106"	"3d6.(3F2).4s"	"b 4F"	"5/2"	"3d6.(3F2).4p"	"y 4F*"	"5/2"		"T6892c83"	"L18349c139"	
Fe	1	"254.95252"	"0.00005"	"254.952495"	"0.000009"	"93"	"6.62e+05"	C+	"0.99011115"	"5.85168345"	"3d7.(4F).4s"	"a 5F"	"2"	"3d6.(3F2).4s.4p.(3P*)"	"x 3F*"	"2"		"T5720"	"L11631"	
O	3	""	""	"254.9595"	"0.0010"	""	"6.60e+06"	C+	"40.577338"	"45.438777"	"2s2.2p.(2P*).3d"	"3D*"	"2"	"2s2.2p.(2P*).4p"	"3D"	"1"		"T5376LS"	""	
Fe	1	"254.96132"	"0.00002"	"254.961299"	"0.000009"	"11200"	"2.31e+07"	B	"0.05156912"	"4.91297355"	"3d6.4s2"	"a 5D"	"3"	"3d6.(5D).4s.4p.(1P*)"	"x 5D*"	"4"		"T5720"	"L11631"	
